-245	-327	-489
-246	-311	-480
-261	-302	-484
-264	-290	-473
-252	-292	-480
-252	-288	-480
-249	-296	-488
-244	-288	-485
-242	-282	-484
-255	-289	-478
-260	-278	-487
-262	-286	-479
-261	-271	-479
-268	-267	-474
-272	-263	-472
-267	-262	-475
-274	-265	-473
-278	-282	-474
-256	-299	-474
-227	-321	-489
-187	-344	-493
-117	-355	-495
-100	-355	-498
-89	-367	-498
-74	-359	-495
-61	-361	-494
-47	-360	-489
-34	-353	-493
-24	-354	-489
-22	-346	-490
-18	-345	-490
-10	-342	-492
-11	-347	-490
-20	-347	-488
-26	-347	-490
-34	-350	-488
-60	-353	-492
-91	-367	-491
-122	-358	-496
-160	-358	-492
-189	-356	-487
-213	-338	-486
-229	-337	-479
-242	-325	-472
-243	-311	-477
-247	-305	-478
-237	-317	-487
-225	-324	-481
-191	-341	-486
-155	-348	-495
-130	-344	-497
-90	-348	-497
-62	-339	-493
-38	-331	-495
-19	-322	-488
1	-312	-487
7	-306	-486
7	-308	-482
-3	-315	-486
-27	-331	-495
-69	-340	-492
-105	-343	-503
-140	-342	-499
-178	-334	-494
-207	-323	-490
-234	-321	-485
-251	-312	-477
-248	-311	-480
-242	-319	-483
-212	-332	-486
-181	-344	-488
-148	-347	-495
-110	-345	-495
-56	-342	-497
-20	-316	-493
14	-290	-484
37	-259	-476
45	-222	-465
33	-199	-464
23	-182	-462
10	-167	-473
-2	-145	-460
-9	-124	-456
-26	-99	-445
-42	-90	-444
-52	-89	-445
-68	-81	-440
-72	-72	-438
-81	-68	-437
-80	-75	-447
-93	-82	-445
-92	-89	-445
-97	-83	-448
-93	-77	-450
-94	-79	-446
-97	-78	-442
-108	-72	-438
-124	-50	-421
-134	-18	-392
-139	6	-360
-145	13	-345
-136	16	-335
-133	18	-336
-135	20	-336
-123	18	-336
-118	15	-344
-121	9	-351
-115	4	-368
-109	-20	-389
-94	-48	-420
-86	-85	-448
-84	-93	-460
-79	-110	-468
-79	-115	-468
-70	-114	-471
-72	-102	-462
-90	-81	-451
-97	-50	-423
-92	-17	-391
-92	1	-368
-92	13	-347
-89	20	-329
-87	26	-309
-94	40	-295
-86	39	-279
-91	46	-279
-84	44	-273
-93	44	-263
-81	47	-254
-84	44	-235
-85	48	-223
-85	47	-215
-81	49	-208
-72	48	-196
-76	48	-183
-70	51	-173
-74	51	-148
-78	48	-137
-76	36	-129
-77	41	-121
-71	40	-120
-71	37	-118
-76	35	-119
-72	41	-113
-71	35	-115
-70	38	-121
-69	37	-120
-76	40	-117
-75	40	-118
-73	40	-134
-78	53	-186
-87	44	-247
-80	35	-304
-82	5	-350
-78	-20	-391
-64	-61	-429
-59	-81	-439
-62	-88	-450
-54	-121	-465
-55	-161	-483
-53	-180	-487
-56	-179	-489
-59	-181	-493
-61	-186	-491
-57	-205	-496
-53	-222	-501
-52	-237	-496
-50	-240	-501
-62	-230	-500
-63	-212	-497
-66	-178	-493
-65	-119	-465
-57	-65	-429
-54	-30	-395
-58	-4	-363
-65	22	-318
-60	33	-275
-56	40	-223
-57	45	-189
-59	39	-154
-52	36	-104
-47	19	-80
-34	-15	-27
-39	-33	-2
-34	-47	10
-36	-52	25
-35	-50	20
-33	-24	-11
-41	8	-67
-46	37	-142
-58	46	-207
-50	31	-281
-48	5	-348
-37	-40	-397
-24	-85	-436
-32	-137	-469
-42	-161	-475
-45	-179	-487
-44	-181	-480
-39	-177	-488
-43	-160	-477
-34	-143	-465
-20	-131	-459
4	-126	-448
23	-137	-446
47	-154	-441
81	-208	-434
74	-254	-450
51	-301	-461
19	-331	-473
-27	-360	-478
-73	-378	-479
-119	-376	-482
-159	-369	-487
-195	-353	-489
-243	-333	-474
-275	-308	-473
-285	-264	-471
-271	-228	-477
-258	-206	-475
-242	-196	-480
-224	-186	-480
-240	-176	-478
-235	-155	-474
-200	-135	-476
-176	-112	-464
-154	-108	-468
-115	-96	-467
-41	-117	-454
-21	-129	-456
-20	-133	-462
-13	-122	-450
-9	-122	-454
-7	-127	-454
-2	-122	-454
-7	-131	-452
-3	-124	-454
-7	-126	-453
-9	-130	-451
-12	-122	-452
-10	-121	-457
-21	-122	-458
-27	-123	-456
-43	-117	-459
-54	-125	-470
-76	-107	-469
-71	-108	-464
-72	-110	-465
-73	-98	-454
-68	-104	-460
-67	-99	-461
-71	-99	-457
-72	-101	-457
-66	-98	-458
-66	-99	-455
-70	-97	-459
-65	-94	-456
-67	-97	-458
-69	-94	-455
-71	-97	-455
-71	-102	-461
-73	-98	-453
-68	-98	-459
-61	-97	-453
-74	-100	-455
-71	-98	-456
-70	-100	-456
-77	-95	-455
-94	-98	-463
-85	-101	-459
-87	-90	-459
-91	-91	-458
-96	-97	-464
-88	-94	-454
-87	-95	-461
-86	-101	-460
-82	-105	-464
-76	-106	-467
-85	-106	-469
-87	-105	-466
-94	-92	-459
-114	-86	-456
-137	-92	-458
-173	-95	-459
-204	-111	-462
-232	-141	-467
-245	-175	-472
-254	-216	-476
-254	-243	-482
-244	-284	-490
-234	-307	-487
-216	-334	-487
-202	-341	-489
-195	-351	-487
-181	-354	-492
-168	-363	-489
-115	-372	-497
-86	-365	-497
-47	-361	-494
-27	-340	-492
12	-321	-481
25	-297	-480
38	-268	-470
53	-253	-465
54	-215	-455
51	-199	-448
54	-184	-446
46	-196	-448
47	-193	-458
46	-201	-455
33	-196	-463
23	-196	-471
16	-195	-482
-20	-196	-485
-32	-191	-487
-26	-191	-489
-19	-200	-489
-22	-216	-498
-17	-218	-486
-30	-199	-487
-15	-189	-480
5	-169	-471
30	-159	-448
47	-128	-427
46	-119	-419
49	-112	-413
24	-102	-429
-9	-97	-438
-51	-88	-442
-135	-72	-438
-291	-45	-364
-335	-34	-272
-336	-19	-182
-314	-17	-113
-294	-18	-72
-263	-26	-35
-232	-26	-15
-221	-33	-4
-231	-30	-9
-271	-19	-52
-317	-17	-133
-317	-23	-251
-173	-44	-409
-107	-49	-411
21	-60	-380
35	-65	-383
38	-82	-391
55	-87	-381
84	-101	-359
121	-109	-324
126	-103	-304
134	-101	-281
146	-102	-256
142	-102	-237
136	-95	-246
124	-96	-302
83	-83	-362
51	-88	-383
-1	-77	-413
-59	-64	-430
-106	-62	-429
-136	-57	-430
-143	-60	-432
-203	-61	-421
-262	-52	-387
-300	-43	-350
-309	-40	-328
-331	-40	-318
-339	-37	-291
-345	-30	-256
-339	-21	-210
-337	-23	-175
-331	-26	-148
-330	-30	-108
-334	-41	-92
-336	-52	-77
-327	-66	-45
-292	-60	-11
-248	-71	23
-178	-68	42
-146	-74	57
-111	-98	71
-89	-102	69
-153	-103	80
-202	-109	73
-229	-128	70
-238	-135	69
-258	-141	71
-291	-172	60
-301	-190	65
-287	-211	79
-267	-225	85
-267	-222	89
-278	-221	80
-324	-211	53
-362	-208	11
-419	-184	-87
-431	-165	-151
-420	-142	-265
-379	-129	-353
-241	-126	-452
-123	-122	-470
-94	-127	-474
-32	-126	-460
34	-126	-437
69	-130	-413
71	-145	-416
27	-168	-453
25	-186	-458
8	-202	-470
9	-228	-478
30	-254	-453
95	-348	-430
70	-414	-433
36	-467	-434
14	-463	-459
-6	-457	-463
-12	-449	-475
-27	-443	-484
-34	-438	-485
-28	-441	-480
-24	-443	-481
-27	-455	-477
-36	-451	-474
-36	-448	-483
-33	-435	-489
-41	-419	-495
-43	-414	-508
-41	-412	-502
-42	-410	-509
-46	-418	-506
-48	-412	-505
-44	-407	-504
-44	-411	-504
-51	-413	-505
-43	-412	-513
-45	-415	-505
-44	-405	-510
-45	-408	-507
-45	-410	-509
-47	-409	-515
-44	-409	-510
-46	-412	-511
-48	-410	-511
-47	-410	-506
-46	-407	-511
-42	-412	-513
-50	-403	-502
-44	-407	-505
-45	-411	-511
-46	-408	-507
-40	-412	-514
-40	-412	-508
-46	-409	-514
-46	-411	-516
-47	-406	-508
-45	-413	-504
-44	-403	-508
-40	-409	-509
-46	-415	-514
-45	-411	-513
-47	-408	-509
-49	-405	-510
-45	-410	-505
-45	-412	-510
-46	-407	-508
-47	-409	-512
-43	-408	-516
-54	-405	-510
-45	-409	-509
-43	-407	-516
-45	-402	-511
-44	-407	-514
-43	-408	-511
-46	-406	-513
-49	-412	-511
-57	-408	-510
-44	-408	-514
-46	-405	-514
-47	-406	-513
-47	-406	-517
-40	-402	-509
-46	-410	-516
-44	-407	-507
-47	-408	-513
-48	-413	-512
-47	-406	-515
-46	-403	-514
-44	-406	-518
-50	-403	-510
-43	-411	-513
-48	-404	-513
-46	-403	-509
-50	-407	-511
-47	-406	-509
-47	-411	-511
-49	-407	-514
-47	-407	-510
-45	-408	-508
-46	-413	-508
-47	-404	-511
-48	-408	-508
-51	-408	-513
-47	-407	-508
-47	-406	-509
-43	-407	-513
-54	-402	-514
-49	-407	-515
-51	-408	-512
-45	-407	-503
-48	-407	-507
-49	-410	-506
-50	-406	-514
-50	-405	-509
-49	-406	-512
-40	-406	-512
-50	-407	-512
-45	-407	-511
-46	-404	-516
-50	-398	-517
-46	-403	-514
-31	-415	-505
-27	-418	-500
-38	-343	-515
-17	-254	-515
25	-74	-425
37	-68	-391
13	-31	-378
24	-23	-354
-11	-13	-365
-35	-18	-381
-46	-19	-382
-49	-26	-396
-75	-19	-403
-114	-22	-408
-125	-14	-388
-136	-15	-404
-135	-7	-387
-151	0	-366
-168	13	-366
-175	21	-350
-172	28	-342
-170	23	-335
-174	25	-333
-180	36	-323
-185	37	-308
-192	50	-285
-201	47	-286
-203	48	-263
-200	47	-261
-191	50	-259
-162	58	-256
-141	65	-241
-108	63	-229
-85	62	-215
-77	48	-221
-57	50	-220
-45	50	-223
-33	45	-231
-29	49	-227
-23	46	-235
-20	40	-223
-13	36	-224
-6	34	-220
2	42	-217
1	37	-212
-2	39	-220
-2	41	-216
-3	44	-223
0	40	-219
-1	35	-216
-5	39	-208
0	35	-207
2	34	-194
4	29	-176
8	31	-152
11	25	-138
5	27	-134
9	23	-122
4	24	-119
2	31	-127
1	31	-125
2	30	-137
-6	28	-132
0	32	-140
-6	28	-137
-7	31	-139
4	35	-139
1	30	-137
-3	35	-131
2	25	-135
-2	38	-140
-7	35	-139
3	25	-137
0	27	-145
-4	30	-146
2	32	-175
6	33	-180
6	39	-208
-2	32	-255
-2	8	-303
-13	-25	-372
-5	-52	-402
28	-88	-412
26	-139	-449
26	-153	-460
18	-167	-470
1	-181	-482
12	-201	-481
4	-225	-488
-1	-254	-495
6	-268	-492
27	-292	-485
25	-331	-474
-17	-407	-455
-6	-448	-431
5	-477	-397
-12	-518	-349
-31	-549	-288
-52	-548	-309
-62	-552	-303
-57	-564	-275
-62	-565	-256
-58	-569	-237
-67	-565	-221
-66	-573	-225
-73	-572	-219
-72	-574	-209
-72	-572	-191
-71	-571	-171
-81	-563	-154
-91	-559	-140
-109	-560	-122
-109	-554	-108
-122	-552	-89
-120	-544	-79
-122	-547	-77
-113	-552	-79
